layer_id,function_id,layer_name,layer_type,function_type,i1_connect,i2_connect,input_h,input_w,input_c,kernel_h,kernel_w,kernel_c,kernel_count,stride,padding,dilation,tile_h,tile_w,pe_type,k,g,s,psum_kb,preprocess_type,preprocess_param0,preprocess_param1
0,0,conv1_1,conv2d,conv2d,4294967295,4294967295,224,224,3,3,3,3,64,1,1,1,14,12,systolic,14,1,12,1,none,0,0
1,0,conv1_2,conv2d,conv2d,4294967295,4294967295,224,224,64,3,3,64,64,1,1,1,7,12,systolic,14,1,12,1,none,0,0
2,0,pool1,pooling,pooling,4294967295,4294967295,224,224,64,2,2,0,64,2,0,1,7,6,systolic,14,1,12,1,none,0,0
3,0,conv2_1,conv2d,conv2d,4294967295,4294967295,112,112,64,3,3,64,128,1,1,1,7,12,systolic,14,1,12,1,none,0,0
4,0,conv2_2,conv2d,conv2d,4294967295,4294967295,112,112,128,3,3,128,128,1,1,1,7,6,systolic,14,1,12,1,none,0,0
5,0,pool2,pooling,pooling,4294967295,4294967295,112,112,128,2,2,0,128,2,0,1,3,6,systolic,14,1,12,1,none,0,0
6,0,conv3_1,conv2d,conv2d,4294967295,4294967295,56,56,128,3,3,128,256,1,1,1,3,6,systolic,14,1,12,1,none,0,0
7,0,conv3_2,conv2d,conv2d,4294967295,4294967295,56,56,256,3,3,256,256,1,1,1,3,6,systolic,14,1,12,1,none,0,0
8,0,conv3_3,conv2d,conv2d,4294967295,4294967295,56,56,256,3,3,256,256,1,1,1,3,6,systolic,14,1,12,1,none,0,0
9,0,pool3,pooling,pooling,4294967295,4294967295,56,56,256,2,2,0,256,2,0,1,3,3,systolic,14,1,12,1,none,0,0
10,0,conv4_1,conv2d,conv2d,4294967295,4294967295,28,28,256,3,3,256,512,1,1,1,3,3,systolic,14,1,12,1,none,0,0
11,0,conv4_2,conv2d,conv2d,4294967295,4294967295,28,28,512,3,3,512,512,1,1,1,3,3,systolic,14,1,12,1,none,0,0
12,0,conv4_3,conv2d,conv2d,4294967295,4294967295,28,28,512,3,3,512,512,1,1,1,3,3,systolic,14,1,12,1,none,0,0
13,0,pool4,pooling,pooling,4294967295,4294967295,28,28,512,2,2,0,512,2,0,1,1,3,systolic,14,1,12,1,none,0,0
14,0,conv5_1,conv2d,conv2d,4294967295,4294967295,14,14,512,3,3,512,512,1,1,1,3,3,systolic,14,1,12,1,none,0,0
15,0,conv5_2,conv2d,conv2d,4294967295,4294967295,14,14,512,3,3,512,512,1,1,1,3,3,systolic,14,1,12,1,none,0,0
16,0,conv5_3,conv2d,conv2d,4294967295,4294967295,14,14,512,3,3,512,512,1,1,1,3,3,systolic,14,1,12,1,none,0,0
17,0,pool5,pooling,pooling,4294967295,4294967295,14,14,512,2,2,0,512,2,0,1,1,3,systolic,14,1,12,1,none,0,0
18,0,fc6,fully_connected,fully_connected,4294967295,4294967295,7,7,512,1,1,25088,4096,1,0,1,1,1,systolic,14,1,12,1,none,0,0
19,0,fc7,fully_connected,fully_connected,4294967295,4294967295,1,1,4096,1,1,4096,4096,1,0,1,1,1,systolic,14,1,12,1,none,0,0
20,0,fc8,fully_connected,fully_connected,4294967295,4294967295,1,1,4096,1,1,4096,1000,1,0,1,1,1,systolic,14,1,12,1,none,0,0
