layer_id,function_id,layer_name,layer_type,function_type,i1_connect,i2_connect,input_h,input_w,input_c,kernel_h,kernel_w,kernel_c,kernel_count,stride,padding,dilation,tile_h,tile_w,pe_type,k,g,s,psum_kb,preprocess_type,preprocess_param0,preprocess_param1
0,0,conv0,conv2d,conv2d,4294967295,4294967295,224,224,3,3,3,3,32,2,1,1,16,16,adder_tree,64,1,16,0,none,0,0
1,0,dw1,depthwise_conv2d,depthwise_conv2d,0,4294967295,112,112,32,3,3,1,32,1,1,1,16,16,adder_tree,64,1,16,0,none,0,0
2,0,pw1,conv2d,conv2d,1,4294967295,112,112,32,1,1,32,64,1,0,1,16,16,adder_tree,64,1,16,0,none,0,0
3,0,dw2,depthwise_conv2d,depthwise_conv2d,2,4294967295,112,112,64,3,3,1,64,2,1,1,16,16,adder_tree,64,1,16,0,none,0,0
4,0,pw2,conv2d,conv2d,3,4294967295,56,56,64,1,1,64,128,1,0,1,16,16,adder_tree,64,1,16,0,none,0,0
5,0,dw3,depthwise_conv2d,depthwise_conv2d,4,4294967295,56,56,128,3,3,1,128,1,1,1,16,16,adder_tree,64,1,16,0,none,0,0
6,0,pw3,conv2d,conv2d,5,4294967295,56,56,128,1,1,128,128,1,0,1,16,16,adder_tree,64,1,16,0,none,0,0
7,0,dw4,depthwise_conv2d,depthwise_conv2d,6,4294967295,56,56,128,3,3,1,128,2,1,1,16,16,adder_tree,64,1,16,0,none,0,0
8,0,pw4,conv2d,conv2d,7,4294967295,28,28,128,1,1,128,256,1,0,1,16,16,adder_tree,64,1,16,0,none,0,0
9,0,dw5,depthwise_conv2d,depthwise_conv2d,8,4294967295,28,28,256,3,3,1,256,1,1,1,16,16,adder_tree,64,1,16,0,none,0,0
10,0,pw5,conv2d,conv2d,9,4294967295,28,28,256,1,1,256,256,1,0,1,16,16,adder_tree,64,1,16,0,none,0,0
11,0,dw6,depthwise_conv2d,depthwise_conv2d,10,4294967295,28,28,256,3,3,1,256,2,1,1,16,16,adder_tree,64,1,16,0,none,0,0
12,0,pw6,conv2d,conv2d,11,4294967295,14,14,256,1,1,256,512,1,0,1,16,16,adder_tree,64,1,16,0,none,0,0
13,0,dw7,depthwise_conv2d,depthwise_conv2d,12,4294967295,14,14,512,3,3,1,512,1,1,1,16,16,adder_tree,64,1,16,0,none,0,0
14,0,pw7,conv2d,conv2d,13,4294967295,14,14,512,1,1,512,512,1,0,1,16,16,adder_tree,64,1,16,0,none,0,0
15,0,dw8,depthwise_conv2d,depthwise_conv2d,14,4294967295,14,14,512,3,3,1,512,1,1,1,16,16,adder_tree,64,1,16,0,none,0,0
16,0,pw8,conv2d,conv2d,15,4294967295,14,14,512,1,1,512,512,1,0,1,16,16,adder_tree,64,1,16,0,none,0,0
17,0,dw9,depthwise_conv2d,depthwise_conv2d,16,4294967295,14,14,512,3,3,1,512,1,1,1,16,16,adder_tree,64,1,16,0,none,0,0
18,0,pw9,conv2d,conv2d,17,4294967295,14,14,512,1,1,512,512,1,0,1,16,16,adder_tree,64,1,16,0,none,0,0
19,0,dw10,depthwise_conv2d,depthwise_conv2d,18,4294967295,14,14,512,3,3,1,512,1,1,1,16,16,adder_tree,64,1,16,0,none,0,0
20,0,pw10,conv2d,conv2d,19,4294967295,14,14,512,1,1,512,512,1,0,1,16,16,adder_tree,64,1,16,0,none,0,0
21,0,dw11,depthwise_conv2d,depthwise_conv2d,20,4294967295,14,14,512,3,3,1,512,2,1,1,16,16,adder_tree,64,1,16,0,none,0,0
22,0,pw11,conv2d,conv2d,21,4294967295,7,7,512,1,1,512,1024,1,0,1,16,16,adder_tree,64,1,16,0,none,0,0
23,0,dw12,depthwise_conv2d,depthwise_conv2d,22,4294967295,7,7,1024,3,3,1,1024,1,1,1,16,16,adder_tree,64,1,16,0,none,0,0
24,0,pw12,conv2d,conv2d,23,4294967295,7,7,1024,1,1,1024,1024,1,0,1,16,16,adder_tree,64,1,16,0,none,0,0
25,0,pool,pooling,pooling,24,4294967295,7,7,1024,7,7,1,1024,1,0,1,16,16,adder_tree,64,1,16,0,none,0,0
26,0,fc,fully_connected,fully_connected,25,4294967295,1,1,1024,1,1,1024,1000,1,0,1,16,16,adder_tree,64,1,16,0,none,0,0
