layer_id,function_id,layer_name,layer_type,function_type,i1_connect,i2_connect,input_h,input_w,input_c,kernel_h,kernel_w,kernel_c,kernel_count,stride,padding,dilation,tile_h,tile_w,pe_type,k,g,s,psum_kb,preprocess_type,preprocess_param0,preprocess_param1
0,0,conv1_pre,elementwise,preprocess,4294967295,4294967295,224,224,3,1,1,0,3,1,0,1,16,16,systolic,1,1,1,0,zero_skipping,0,0
0,1,conv1,conv2d,conv2d,0,4294967295,224,224,3,3,3,3,32,2,1,1,16,16,systolic,16,1,8,0,none,0,0
0,2,conv1_act,activation,activation,1,4294967295,112,112,32,1,1,0,32,1,0,1,16,16,systolic,1,1,16,0,none,0,0
1,0,dw1_pre,elementwise,preprocess,4294967295,4294967295,112,112,32,1,1,0,32,1,0,1,16,16,systolic,1,1,16,0,zero_skipping,0,0
1,1,dw1,depthwise_conv2d,depthwise_conv2d,0,4294967295,112,112,32,3,3,32,32,1,1,1,16,16,systolic,9,1,14,0,none,0,0
1,2,dw1_act,activation,activation,1,4294967295,112,112,32,1,1,0,32,1,0,1,16,16,systolic,1,1,16,0,none,0,0
2,0,pw1_pre,elementwise,preprocess,4294967295,4294967295,112,112,32,1,1,0,32,1,0,1,16,16,systolic,1,1,16,0,zero_skipping,0,0
2,1,pw1,conv2d,conv2d,0,4294967295,112,112,32,1,1,32,16,1,0,1,16,16,systolic,16,1,8,0,none,0,0
2,2,pw1_act,activation,activation,1,4294967295,112,112,16,1,1,0,16,1,0,1,16,16,systolic,1,1,8,0,none,0,0
3,0,dw2_pre,elementwise,preprocess,4294967295,4294967295,112,112,16,1,1,0,16,1,0,1,16,16,systolic,1,1,8,0,zero_skipping,0,0
3,1,dw2,depthwise_conv2d,depthwise_conv2d,0,4294967295,112,112,16,3,3,16,16,1,1,1,16,16,systolic,9,1,8,0,none,0,0
3,2,dw2_act,activation,activation,1,4294967295,112,112,16,1,1,0,16,1,0,1,16,16,systolic,1,1,8,0,none,0,0
4,0,pw2_pre,elementwise,preprocess,4294967295,4294967295,112,112,16,1,1,0,16,1,0,1,16,16,systolic,1,1,8,0,zero_skipping,0,0
4,1,pw2,conv2d,conv2d,0,4294967295,112,112,16,1,1,16,24,1,0,1,16,16,systolic,16,1,8,0,none,0,0
4,2,pw2_act,activation,activation,1,4294967295,112,112,24,1,1,0,24,1,0,1,16,16,systolic,1,1,12,0,none,0,0
