layer_id,function_id,layer_name,layer_type,function_type,i1_connect,i2_connect,input_h,input_w,input_c,kernel_h,kernel_w,kernel_c,kernel_count,stride,padding,dilation,tile_h,tile_w,pe_type,k,g,s,psum_kb,preprocess_type,preprocess_param0,preprocess_param1
0,0,conv1_pre,elementwise,preprocess,4294967295,4294967295,224,224,3,1,1,0,3,1,0,1,16,16,systolic,1,1,1,0,zero_skipping,0,0
0,1,conv1,conv2d,conv2d,0,4294967295,224,224,3,7,7,3,64,2,3,1,16,16,systolic,16,1,8,0,none,0,0
0,2,conv1_act,activation,activation,1,4294967295,112,112,64,1,1,0,64,1,0,1,16,16,systolic,1,1,32,0,none,0,0
0,3,pool1,pooling,pooling,2,4294967295,112,112,64,3,3,0,64,2,1,1,8,16,systolic,9,1,14,0,none,0,0
1,0,res2a_1_pre,elementwise,preprocess,4294967295,4294967295,56,56,64,1,1,0,64,1,0,1,16,16,systolic,1,1,32,0,zero_skipping,0,0
1,1,res2a_1,conv2d,conv2d,0,4294967295,56,56,64,3,3,64,64,1,1,1,16,16,systolic,16,1,8,0,none,0,0
1,2,res2a_1_act,activation,activation,1,4294967295,56,56,64,1,1,0,64,1,0,1,16,16,systolic,1,1,32,0,none,0,0
2,0,res2a_2_pre,elementwise,preprocess,4294967295,4294967295,56,56,64,1,1,0,64,1,0,1,16,16,systolic,1,1,32,0,zero_skipping,0,0
2,1,res2a_2,conv2d,conv2d,0,4294967295,56,56,64,3,3,64,64,1,1,1,16,16,systolic,16,1,8,0,none,0,0
2,2,res2a_2_act,activation,activation,1,4294967295,56,56,64,1,1,0,64,1,0,1,16,16,systolic,1,1,32,0,none,0,0
3,0,res2b_1_pre,elementwise,preprocess,4294967295,4294967295,56,56,64,1,1,0,64,1,0,1,16,16,systolic,1,1,32,0,zero_skipping,0,0
3,1,res2b_1,conv2d,conv2d,0,4294967295,56,56,64,3,3,64,64,1,1,1,16,16,systolic,16,1,8,0,none,0,0
3,2,res2b_1_act,activation,activation,1,4294967295,56,56,64,1,1,0,64,1,0,1,16,16,systolic,1,1,32,0,none,0,0
4,0,res2b_2_pre,elementwise,preprocess,4294967295,4294967295,56,56,64,1,1,0,64,1,0,1,16,16,systolic,1,1,32,0,zero_skipping,0,0
4,1,res2b_2,conv2d,conv2d,0,4294967295,56,56,64,3,3,64,64,1,1,1,16,16,systolic,16,1,8,0,none,0,0
4,2,res2b_2_act,activation,activation,1,4294967295,56,56,64,1,1,0,64,1,0,1,16,16,systolic,1,1,32,0,none,0,0
5,0,res3a_1_pre,elementwise,preprocess,4294967295,4294967295,56,56,64,1,1,0,64,1,0,1,16,16,systolic,1,1,32,0,zero_skipping,0,0
5,1,res3a_1,conv2d,conv2d,0,4294967295,56,56,64,3,3,64,128,2,1,1,8,8,systolic,16,1,8,0,none,0,0
5,2,res3a_1_act,activation,activation,1,4294967295,28,28,128,1,1,0,128,1,0,1,8,16,systolic,1,1,64,0,none,0,0
6,0,res3a_2_pre,elementwise,preprocess,4294967295,4294967295,28,28,128,1,1,0,128,1,0,1,8,16,systolic,1,1,64,0,zero_skipping,0,0
6,1,res3a_2,conv2d,conv2d,0,4294967295,28,28,128,3,3,128,128,1,1,1,8,16,systolic,16,1,8,0,none,0,0
6,2,res3a_2_act,activation,activation,1,4294967295,28,28,128,1,1,0,128,1,0,1,8,16,systolic,1,1,64,0,none,0,0
7,0,res3b_1_pre,elementwise,preprocess,4294967295,4294967295,28,28,128,1,1,0,128,1,0,1,8,16,systolic,1,1,64,0,zero_skipping,0,0
7,1,res3b_1,conv2d,conv2d,0,4294967295,28,28,128,3,3,128,128,1,1,1,8,16,systolic,16,1,8,0,none,0,0
7,2,res3b_1_act,activation,activation,1,4294967295,28,28,128,1,1,0,128,1,0,1,8,16,systolic,1,1,64,0,none,0,0
8,0,res3b_2_pre,elementwise,preprocess,4294967295,4294967295,28,28,128,1,1,0,128,1,0,1,8,16,systolic,1,1,64,0,zero_skipping,0,0
8,1,res3b_2,conv2d,conv2d,0,4294967295,28,28,128,3,3,128,128,1,1,1,8,16,systolic,16,1,8,0,none,0,0
8,2,res3b_2_act,activation,activation,1,4294967295,28,28,128,1,1,0,128,1,0,1,8,16,systolic,1,1,64,0,none,0,0
9,0,res4a_1_pre,elementwise,preprocess,4294967295,4294967295,28,28,128,1,1,0,128,1,0,1,8,16,systolic,1,1,64,0,zero_skipping,0,0
9,1,res4a_1,conv2d,conv2d,0,4294967295,28,28,128,3,3,128,256,2,1,1,7,7,systolic,16,1,8,0,none,0,0
9,2,res4a_1_act,activation,activation,1,4294967295,14,14,256,1,1,0,256,1,0,1,7,7,systolic,1,1,128,0,none,0,0
10,0,res4a_2_pre,elementwise,preprocess,4294967295,4294967295,14,14,256,1,1,0,256,1,0,1,7,7,systolic,1,1,128,0,zero_skipping,0,0
10,1,res4a_2,conv2d,conv2d,0,4294967295,14,14,256,3,3,256,256,1,1,1,7,7,systolic,16,1,8,0,none,0,0
10,2,res4a_2_act,activation,activation,1,4294967295,14,14,256,1,1,0,256,1,0,1,7,7,systolic,1,1,128,0,none,0,0
11,0,res4b_1_pre,elementwise,preprocess,4294967295,4294967295,14,14,256,1,1,0,256,1,0,1,7,7,systolic,1,1,128,0,zero_skipping,0,0
11,1,res4b_1,conv2d,conv2d,0,4294967295,14,14,256,3,3,256,256,1,1,1,7,7,systolic,16,1,8,0,none,0,0
11,2,res4b_1_act,activation,activation,1,4294967295,14,14,256,1,1,0,256,1,0,1,7,7,systolic,1,1,128,0,none,0,0
12,0,res4b_2_pre,elementwise,preprocess,4294967295,4294967295,14,14,256,1,1,0,256,1,0,1,7,7,systolic,1,1,128,0,zero_skipping,0,0
12,1,res4b_2,conv2d,conv2d,0,4294967295,14,14,256,3,3,256,256,1,1,1,7,7,systolic,16,1,8,0,none,0,0
