layer_id,function_id,layer_name,layer_type,function_type,i1_connect,i2_connect,input_h,input_w,input_c,kernel_h,kernel_w,kernel_c,kernel_count,stride,padding,dilation,tile_h,tile_w,pe_type,k,g,s,psum_kb,preprocess_type,preprocess_param0,preprocess_param1
0,0,conv1_1_pre,elementwise,preprocess,4294967295,4294967295,224,224,3,1,1,0,3,1,0,1,16,16,systolic,1,1,1,0,zero_skipping,0,0
0,1,conv1_1,conv2d,conv2d,0,4294967295,224,224,3,3,3,3,64,1,1,1,16,16,systolic,16,1,8,0,none,0,0
0,2,conv1_1_act,activation,activation,1,4294967295,224,224,64,1,1,0,64,1,0,1,16,16,systolic,1,1,32,0,none,0,0
1,0,conv1_2_pre,elementwise,preprocess,4294967295,4294967295,224,224,64,1,1,0,64,1,0,1,16,16,systolic,1,1,32,0,zero_skipping,0,0
1,1,conv1_2,conv2d,conv2d,0,4294967295,224,224,64,3,3,64,64,1,1,1,16,16,systolic,16,1,8,0,none,0,0
1,2,conv1_2_act,activation,activation,1,4294967295,224,224,64,1,1,0,64,1,0,1,16,16,systolic,1,1,32,0,none,0,0
1,3,pool1,pooling,pooling,2,4294967295,224,224,64,2,2,0,64,2,0,1,8,16,systolic,4,1,32,0,none,0,0
2,0,conv2_1_pre,elementwise,preprocess,4294967295,4294967295,112,112,64,1,1,0,64,1,0,1,16,16,systolic,1,1,32,0,zero_skipping,0,0
2,1,conv2_1,conv2d,conv2d,0,4294967295,112,112,64,3,3,64,128,1,1,1,8,16,systolic,16,1,8,0,none,0,0
2,2,conv2_1_act,activation,activation,1,4294967295,112,112,128,1,1,0,128,1,0,1,8,16,systolic,1,1,64,0,none,0,0
3,0,conv2_2_pre,elementwise,preprocess,4294967295,4294967295,112,112,128,1,1,0,128,1,0,1,8,16,systolic,1,1,64,0,zero_skipping,0,0
3,1,conv2_2,conv2d,conv2d,0,4294967295,112,112,128,3,3,128,128,1,1,1,8,16,systolic,16,1,8,0,none,0,0
3,2,conv2_2_act,activation,activation,1,4294967295,112,112,128,1,1,0,128,1,0,1,8,16,systolic,1,1,64,0,none,0,0
3,3,pool2,pooling,pooling,2,4294967295,112,112,128,2,2,0,128,2,0,1,8,8,systolic,4,1,32,0,none,0,0
4,0,conv3_1_pre,elementwise,preprocess,4294967295,4294967295,56,56,128,1,1,0,128,1,0,1,8,16,systolic,1,1,64,0,zero_skipping,0,0
4,1,conv3_1,conv2d,conv2d,0,4294967295,56,56,128,3,3,128,256,1,1,1,8,8,systolic,16,1,8,0,none,0,0
4,2,conv3_1_act,activation,activation,1,4294967295,56,56,256,1,1,0,256,1,0,1,8,8,systolic,1,1,128,0,none,0,0
5,0,conv3_2_pre,elementwise,preprocess,4294967295,4294967295,56,56,256,1,1,0,256,1,0,1,8,8,systolic,1,1,128,0,zero_skipping,0,0
5,1,conv3_2,conv2d,conv2d,0,4294967295,56,56,256,3,3,256,256,1,1,1,8,8,systolic,16,1,8,0,none,0,0
5,2,conv3_2_act,activation,activation,1,4294967295,56,56,256,1,1,0,256,1,0,1,8,8,systolic,1,1,128,0,none,0,0
6,0,conv3_3_pre,elementwise,preprocess,4294967295,4294967295,56,56,256,1,1,0,256,1,0,1,8,8,systolic,1,1,128,0,zero_skipping,0,0
6,1,conv3_3,conv2d,conv2d,0,4294967295,56,56,256,3,3,256,256,1,1,1,8,8,systolic,16,1,8,0,none,0,0
6,2,conv3_3_act,activation,activation,1,4294967295,56,56,256,1,1,0,256,1,0,1,8,8,systolic,1,1,128,0,none,0,0
6,3,pool3,pooling,pooling,2,4294967295,56,56,256,2,2,0,256,2,0,1,4,8,systolic,4,1,32,0,none,0,0
7,0,conv4_1_pre,elementwise,preprocess,4294967295,4294967295,28,28,256,1,1,0,256,1,0,1,8,8,systolic,1,1,128,0,zero_skipping,0,0
7,1,conv4_1,conv2d,conv2d,0,4294967295,28,28,256,3,3,256,512,1,1,1,4,8,systolic,16,1,8,0,none,0,0
7,2,conv4_1_act,activation,activation,1,4294967295,28,28,512,1,1,0,512,1,0,1,4,8,systolic,1,1,128,0,none,0,0
8,0,conv4_2_pre,elementwise,preprocess,4294967295,4294967295,28,28,512,1,1,0,512,1,0,1,4,8,systolic,1,1,128,0,zero_skipping,0,0
8,1,conv4_2,conv2d,conv2d,0,4294967295,28,28,512,3,3,512,512,1,1,1,4,4,systolic,16,1,8,0,none,0,0
8,2,conv4_2_act,activation,activation,1,4294967295,28,28,512,1,1,0,512,1,0,1,4,8,systolic,1,1,128,0,none,0,0
9,0,conv4_3_pre,elementwise,preprocess,4294967295,4294967295,28,28,512,1,1,0,512,1,0,1,4,8,systolic,1,1,128,0,zero_skipping,0,0
9,1,conv4_3,conv2d,conv2d,0,4294967295,28,28,512,3,3,512,512,1,1,1,4,4,systolic,16,1,8,0,none,0,0
9,2,conv4_3_act,activation,activation,1,4294967295,28,28,512,1,1,0,512,1,0,1,4,8,systolic,1,1,128,0,none,0,0
9,3,pool4,pooling,pooling,2,4294967295,28,28,512,2,2,0,512,2,0,1,3,3,systolic,4,1,32,0,none,0,0
10,0,conv5_1_pre,elementwise,preprocess,4294967295,4294967295,14,14,512,1,1,0,512,1,0,1,3,7,systolic,1,1,128,0,zero_skipping,0,0
10,1,conv5_1,conv2d,conv2d,0,4294967295,14,14,512,3,3,512,512,1,1,1,3,7,systolic,16,1,8,0,none,0,0
10,2,conv5_1_act,activation,activation,1,4294967295,14,14,512,1,1,0,512,1,0,1,3,7,systolic,1,1,128,0,none,0,0
11,0,conv5_2_pre,elementwise,preprocess,4294967295,4294967295,14,14,512,1,1,0,512,1,0,1,3,7,systolic,1,1,128,0,zero_skipping,0,0
11,1,conv5_2,conv2d,conv2d,0,4294967295,14,14,512,3,3,512,512,1,1,1,3,7,systolic,16,1,8,0,none,0,0
11,2,conv5_2_act,activation,activation,1,4294967295,14,14,512,1,1,0,512,1,0,1,3,7,systolic,1,1,128,0,none,0,0
12,0,conv5_3_pre,elementwise,preprocess,4294967295,4294967295,14,14,512,1,1,0,512,1,0,1,3,7,systolic,1,1,128,0,zero_skipping,0,0
12,1,conv5_3,conv2d,conv2d,0,4294967295,14,14,512,3,3,512,512,1,1,1,3,7,systolic,16,1,8,0,none,0,0
12,2,conv5_3_act,activation,activation,1,4294967295,14,14,512,1,1,0,512,1,0,1,3,7,systolic,1,1,128,0,none,0,0
12,3,pool5,pooling,pooling,2,4294967295,14,14,512,2,2,0,512,2,0,1,3,3,systolic,4,1,32,0,none,0,0
13,0,fc6,fully_connected,fully_connected,4294967295,4294967295,7,7,512,1,1,25088,4096,1,0,1,1,1,systolic,16,1,8,0,none,0,0
14,0,fc7,fully_connected,fully_connected,4294967295,4294967295,1,1,4096,1,1,4096,4096,1,0,1,1,1,systolic,16,1,8,0,none,0,0
15,0,fc8,fully_connected,fully_connected,4294967295,4294967295,1,1,4096,1,1,4096,1000,1,0,1,1,1,systolic,16,1,8,0,none,0,0
