layer_id,function_id,layer_name,layer_type,function_type,i1_connect,i2_connect,input_h,input_w,input_c,kernel_h,kernel_w,kernel_c,kernel_count,stride,padding,dilation,tile_h,tile_w,pe_type,k,g,s,psum_kb,preprocess_type,preprocess_param0,preprocess_param1
0,0,conv1_1,conv2d,conv2d,4294967295,4294967295,224,224,3,3,3,3,64,1,1,1,16,16,systolic,16,1,8,8,zero_skipping,600,0
1,0,conv1_2,conv2d,conv2d,0,4294967295,224,224,64,3,3,64,64,1,1,1,16,16,systolic,16,1,8,8,zero_skipping,600,0
2,0,pool224,pooling,pooling,1,4294967295,224,224,64,2,2,1,64,2,0,1,16,16,systolic,16,1,8,8,none,0,0
3,0,conv2_1,conv2d,conv2d,2,4294967295,112,112,64,3,3,64,128,1,1,1,16,16,systolic,16,1,8,8,zero_skipping,600,0
4,0,conv2_2,conv2d,conv2d,3,4294967295,112,112,128,3,3,128,128,1,1,1,16,16,systolic,16,1,8,8,zero_skipping,600,0
5,0,pool112,pooling,pooling,4,4294967295,112,112,128,2,2,1,128,2,0,1,16,16,systolic,16,1,8,8,none,0,0
6,0,conv3_1,conv2d,conv2d,5,4294967295,56,56,128,3,3,128,256,1,1,1,16,16,systolic,16,1,8,8,zero_skipping,600,0
7,0,conv3_2,conv2d,conv2d,6,4294967295,56,56,256,3,3,256,256,1,1,1,16,16,systolic,16,1,8,8,zero_skipping,600,0
8,0,conv3_3,conv2d,conv2d,7,4294967295,56,56,256,3,3,256,256,1,1,1,16,16,systolic,16,1,8,8,zero_skipping,600,0
9,0,pool56,pooling,pooling,8,4294967295,56,56,256,2,2,1,256,2,0,1,16,16,systolic,16,1,8,8,none,0,0
10,0,conv4_1,conv2d,conv2d,9,4294967295,28,28,256,3,3,256,512,1,1,1,16,16,systolic,16,1,8,8,zero_skipping,600,0
11,0,conv4_2,conv2d,conv2d,10,4294967295,28,28,512,3,3,512,512,1,1,1,16,16,systolic,16,1,8,8,zero_skipping,600,0
12,0,conv4_3,conv2d,conv2d,11,4294967295,28,28,512,3,3,512,512,1,1,1,16,16,systolic,16,1,8,8,zero_skipping,600,0
13,0,pool28,pooling,pooling,12,4294967295,28,28,512,2,2,1,512,2,0,1,16,16,systolic,16,1,8,8,none,0,0
14,0,conv5_1,conv2d,conv2d,13,4294967295,14,14,512,3,3,512,512,1,1,1,16,16,systolic,16,1,8,8,zero_skipping,600,0
15,0,conv5_2,conv2d,conv2d,14,4294967295,14,14,512,3,3,512,512,1,1,1,16,16,systolic,16,1,8,8,zero_skipping,600,0
16,0,conv5_3,conv2d,conv2d,15,4294967295,14,14,512,3,3,512,512,1,1,1,16,16,systolic,16,1,8,8,zero_skipping,600,0
17,0,pool14,pooling,pooling,16,4294967295,14,14,512,2,2,1,512,2,0,1,16,16,systolic,16,1,8,8,none,0,0
