layer_id,function_id,layer_name,layer_type,function_type,i1_connect,i2_connect,input_h,input_w,input_c,kernel_h,kernel_w,kernel_c,kernel_count,stride,padding,dilation,tile_h,tile_w,pe_type,k,g,s,psum_kb,preprocess_type,preprocess_param0,preprocess_param1
0,0,conv1,conv2d,conv2d,4294967295,4294967295,224,224,3,3,3,3,32,2,1,1,8,8,systolic,8,1,8,0,none,0,0
0,1,conv1_act,activation,activation,0,4294967295,112,112,32,1,1,0,32,1,0,1,8,8,systolic,8,1,8,0,none,0,0
1,0,dw1,depthwise_conv2d,depthwise_conv2d,4294967295,4294967295,112,112,32,3,3,32,32,1,1,1,8,8,systolic,8,1,8,0,none,0,0
1,1,dw1_act,activation,activation,0,4294967295,112,112,32,1,1,0,32,1,0,1,8,8,systolic,8,1,8,0,none,0,0
2,0,pw1,conv2d,conv2d,4294967295,4294967295,112,112,32,1,1,32,16,1,0,1,8,8,systolic,8,1,8,0,none,0,0
2,1,pw1_act,activation,activation,0,4294967295,112,112,16,1,1,0,16,1,0,1,8,8,systolic,8,1,8,0,none,0,0
3,0,dw2,depthwise_conv2d,depthwise_conv2d,4294967295,4294967295,112,112,16,3,3,16,16,1,1,1,8,8,systolic,8,1,8,0,none,0,0
3,1,dw2_act,activation,activation,0,4294967295,112,112,16,1,1,0,16,1,0,1,8,8,systolic,8,1,8,0,none,0,0
4,0,pw2,conv2d,conv2d,4294967295,4294967295,112,112,16,1,1,16,24,1,0,1,8,8,systolic,8,1,8,0,none,0,0
4,1,pw2_act,activation,activation,0,4294967295,112,112,24,1,1,0,24,1,0,1,8,8,systolic,8,1,8,0,none,0,0
5,0,dw3,depthwise_conv2d,depthwise_conv2d,4294967295,4294967295,56,56,24,3,3,24,24,2,1,1,8,8,systolic,8,1,8,0,none,0,0
5,1,dw3_act,activation,activation,0,4294967295,28,28,24,1,1,0,24,1,0,1,8,8,systolic,8,1,8,0,none,0,0
6,0,pw3,conv2d,conv2d,4294967295,4294967295,28,28,24,1,1,24,32,1,0,1,8,8,systolic,8,1,8,0,none,0,0
6,1,pw3_act,activation,activation,0,4294967295,28,28,32,1,1,0,32,1,0,1,8,8,systolic,8,1,8,0,none,0,0
7,0,dw4,depthwise_conv2d,depthwise_conv2d,4294967295,4294967295,28,28,32,3,3,32,32,1,1,1,8,8,systolic,8,1,8,0,none,0,0
7,1,dw4_act,activation,activation,0,4294967295,28,28,32,1,1,0,32,1,0,1,8,8,systolic,8,1,8,0,none,0,0
8,0,pw4,conv2d,conv2d,4294967295,4294967295,28,28,32,1,1,32,64,1,0,1,8,8,systolic,8,1,8,0,none,0,0
8,1,pw4_act,activation,activation,0,4294967295,28,28,64,1,1,0,64,1,0,1,8,8,systolic,8,1,8,0,none,0,0
9,0,dw5,depthwise_conv2d,depthwise_conv2d,4294967295,4294967295,14,14,64,3,3,64,64,1,1,1,8,8,systolic,8,1,8,0,none,0,0
9,1,dw5_act,activation,activation,0,4294967295,14,14,64,1,1,0,64,1,0,1,8,8,systolic,8,1,8,0,none,0,0
10,0,pw5,conv2d,conv2d,4294967295,4294967295,14,14,64,1,1,64,96,1,0,1,8,8,systolic,8,1,8,0,none,0,0
10,1,pw5_act,activation,activation,0,4294967295,14,14,96,1,1,0,96,1,0,1,8,8,systolic,8,1,8,0,none,0,0
11,0,dw6,depthwise_conv2d,depthwise_conv2d,4294967295,4294967295,14,14,96,3,3,96,96,2,1,1,7,7,systolic,8,1,8,0,none,0,0
11,1,dw6_act,activation,activation,0,4294967295,7,7,96,1,1,0,96,1,0,1,7,7,systolic,8,1,8,0,none,0,0
12,0,pw6,conv2d,conv2d,4294967295,4294967295,7,7,96,1,1,96,160,1,0,1,7,7,systolic,8,1,8,0,none,0,0
12,1,pw6_act,activation,activation,0,4294967295,7,7,160,1,1,0,160,1,0,1,7,7,systolic,8,1,8,0,none,0,0
13,0,dw7,depthwise_conv2d,depthwise_conv2d,4294967295,4294967295,7,7,160,3,3,160,160,1,1,1,7,7,systolic,8,1,8,0,none,0,0
13,1,dw7_act,activation,activation,0,4294967295,7,7,160,1,1,0,160,1,0,1,7,7,systolic,8,1,8,0,none,0,0
14,0,pw7,conv2d,conv2d,4294967295,4294967295,7,7,160,1,1,160,320,1,0,1,7,7,systolic,8,1,8,0,none,0,0
14,1,pw7_act,activation,activation,0,4294967295,7,7,320,1,1,0,320,1,0,1,7,7,systolic,8,1,8,0,none,0,0
15,0,conv_last,conv2d,conv2d,4294967295,4294967295,7,7,320,1,1,320,1280,1,0,1,3,7,systolic,8,1,8,0,none,0,0
15,1,conv_last_act,activation,activation,0,4294967295,7,7,1280,1,1,0,1280,1,0,1,3,3,systolic,8,1,8,0,none,0,0
15,2,pool_last,pooling,pooling,1,4294967295,7,7,1280,7,7,0,1280,1,0,1,1,1,systolic,8,1,8,0,none,0,0
16,0,fc,fully_connected,fully_connected,4294967295,4294967295,1,1,1280,1,1,1280,1000,1,0,1,1,1,systolic,8,1,8,0,none,0,0
16,1,fc_act,activation,activation,0,4294967295,1,1,1000,1,1,0,1000,1,0,1,1,1,systolic,8,1,8,0,none,0,0
