layer_id,function_id,layer_name,layer_type,function_type,i1_connect,i2_connect,input_h,input_w,input_c,kernel_h,kernel_w,kernel_c,kernel_count,stride,padding,dilation,tile_h,tile_w,pe_type,k,g,s,psum_kb,preprocess_type,preprocess_param0,preprocess_param1
0,0,conv0,conv2d,conv2d,4294967295,4294967295,224,224,3,3,3,3,32,2,1,1,16,16,systolic,16,2,8,0,none,0,0
1,0,act1,activation,activation,0,4294967295,112,112,32,1,1,0,32,1,0,1,16,16,systolic,16,2,8,0,none,0,0
2,0,dw2,depthwise_conv2d,depthwise_conv2d,1,4294967295,112,112,32,3,3,1,32,1,1,1,16,16,systolic,16,2,8,0,none,0,0
3,0,act3,activation,activation,2,4294967295,112,112,32,1,1,0,32,1,0,1,16,16,systolic,16,2,8,0,none,0,0
4,0,conv4,conv2d,conv2d,3,4294967295,112,112,32,1,1,32,64,1,0,1,16,16,systolic,16,2,8,0,none,0,0
5,0,act5,activation,activation,4,4294967295,112,112,64,1,1,0,64,1,0,1,16,16,systolic,16,2,8,0,none,0,0
6,0,dw6,depthwise_conv2d,depthwise_conv2d,5,4294967295,112,112,64,3,3,1,64,2,1,1,16,16,systolic,16,2,8,0,none,0,0
7,0,act7,activation,activation,6,4294967295,56,56,64,1,1,0,64,1,0,1,16,16,systolic,16,2,8,0,none,0,0
8,0,conv8,conv2d,conv2d,7,4294967295,56,56,64,1,1,64,128,1,0,1,16,16,systolic,16,2,8,0,none,0,0
9,0,act9,activation,activation,8,4294967295,56,56,128,1,1,0,128,1,0,1,16,16,systolic,16,2,8,0,none,0,0
10,0,dw10,depthwise_conv2d,depthwise_conv2d,9,4294967295,56,56,128,3,3,1,128,1,1,1,16,16,systolic,16,2,8,0,none,0,0
11,0,act11,activation,activation,10,4294967295,56,56,128,1,1,0,128,1,0,1,16,16,systolic,16,2,8,0,none,0,0
12,0,conv12,conv2d,conv2d,11,4294967295,56,56,128,1,1,128,128,1,0,1,16,16,systolic,16,2,8,0,none,0,0
13,0,act13,activation,activation,12,4294967295,56,56,128,1,1,0,128,1,0,1,16,16,systolic,16,2,8,0,none,0,0
14,0,dw14,depthwise_conv2d,depthwise_conv2d,13,4294967295,56,56,128,3,3,1,128,2,1,1,16,16,systolic,16,2,8,0,none,0,0
15,0,act15,activation,activation,14,4294967295,28,28,128,1,1,0,128,1,0,1,16,16,systolic,16,2,8,0,none,0,0
16,0,conv16,conv2d,conv2d,15,4294967295,28,28,128,1,1,128,256,1,0,1,16,16,systolic,16,2,8,0,none,0,0
17,0,act17,activation,activation,16,4294967295,28,28,256,1,1,0,256,1,0,1,16,16,systolic,16,2,8,0,none,0,0
18,0,dw18,depthwise_conv2d,depthwise_conv2d,17,4294967295,28,28,256,3,3,1,256,1,1,1,16,16,systolic,16,2,8,0,none,0,0
19,0,act19,activation,activation,18,4294967295,28,28,256,1,1,0,256,1,0,1,16,16,systolic,16,2,8,0,none,0,0
20,0,conv20,conv2d,conv2d,19,4294967295,28,28,256,1,1,256,256,1,0,1,16,16,systolic,16,2,8,0,none,0,0
21,0,act21,activation,activation,20,4294967295,28,28,256,1,1,0,256,1,0,1,16,16,systolic,16,2,8,0,none,0,0
22,0,dw22,depthwise_conv2d,depthwise_conv2d,21,4294967295,28,28,256,3,3,1,256,2,1,1,16,16,systolic,16,2,8,0,none,0,0
23,0,act23,activation,activation,22,4294967295,14,14,256,1,1,0,256,1,0,1,16,16,systolic,16,2,8,0,none,0,0
24,0,conv24,conv2d,conv2d,23,4294967295,14,14,256,1,1,256,512,1,0,1,16,16,systolic,16,2,8,0,none,0,0
25,0,act25,activation,activation,24,4294967295,14,14,512,1,1,0,512,1,0,1,16,16,systolic,16,2,8,0,none,0,0
26,0,dw26,depthwise_conv2d,depthwise_conv2d,25,4294967295,14,14,512,3,3,1,512,1,1,1,16,16,systolic,16,2,8,0,none,0,0
27,0,act27,activation,activation,26,4294967295,14,14,512,1,1,0,512,1,0,1,16,16,systolic,16,2,8,0,none,0,0
28,0,conv28,conv2d,conv2d,27,4294967295,14,14,512,1,1,512,512,1,0,1,16,16,systolic,16,2,8,0,none,0,0
29,0,act29,activation,activation,28,4294967295,14,14,512,1,1,0,512,1,0,1,16,16,systolic,16,2,8,0,none,0,0
30,0,dw30,depthwise_conv2d,depthwise_conv2d,29,4294967295,14,14,512,3,3,1,512,1,1,1,16,16,systolic,16,2,8,0,none,0,0
31,0,act31,activation,activation,30,4294967295,14,14,512,1,1,0,512,1,0,1,16,16,systolic,16,2,8,0,none,0,0
32,0,conv32,conv2d,conv2d,31,4294967295,14,14,512,1,1,512,512,1,0,1,16,16,systolic,16,2,8,0,none,0,0
33,0,act33,activation,activation,32,4294967295,14,14,512,1,1,0,512,1,0,1,16,16,systolic,16,2,8,0,none,0,0
34,0,dw34,depthwise_conv2d,depthwise_conv2d,33,4294967295,14,14,512,3,3,1,512,1,1,1,16,16,systolic,16,2,8,0,none,0,0
35,0,act35,activation,activation,34,4294967295,14,14,512,1,1,0,512,1,0,1,16,16,systolic,16,2,8,0,none,0,0
36,0,conv36,conv2d,conv2d,35,4294967295,14,14,512,1,1,512,512,1,0,1,16,16,systolic,16,2,8,0,none,0,0
37,0,act37,activation,activation,36,4294967295,14,14,512,1,1,0,512,1,0,1,16,16,systolic,16,2,8,0,none,0,0
38,0,dw38,depthwise_conv2d,depthwise_conv2d,37,4294967295,14,14,512,3,3,1,512,1,1,1,16,16,systolic,16,2,8,0,none,0,0
39,0,act39,activation,activation,38,4294967295,14,14,512,1,1,0,512,1,0,1,16,16,systolic,16,2,8,0,none,0,0
40,0,conv40,conv2d,conv2d,39,4294967295,14,14,512,1,1,512,512,1,0,1,16,16,systolic,16,2,8,0,none,0,0
41,0,act41,activation,activation,40,4294967295,14,14,512,1,1,0,512,1,0,1,16,16,systolic,16,2,8,0,none,0,0
42,0,dw42,depthwise_conv2d,depthwise_conv2d,41,4294967295,14,14,512,3,3,1,512,1,1,1,16,16,systolic,16,2,8,0,none,0,0
43,0,act43,activation,activation,42,4294967295,14,14,512,1,1,0,512,1,0,1,16,16,systolic,16,2,8,0,none,0,0
44,0,conv44,conv2d,conv2d,43,4294967295,14,14,512,1,1,512,512,1,0,1,16,16,systolic,16,2,8,0,none,0,0
45,0,act45,activation,activation,44,4294967295,14,14,512,1,1,0,512,1,0,1,16,16,systolic,16,2,8,0,none,0,0
46,0,dw46,depthwise_conv2d,depthwise_conv2d,45,4294967295,14,14,512,3,3,1,512,2,1,1,16,16,systolic,16,2,8,0,none,0,0
47,0,act47,activation,activation,46,4294967295,7,7,512,1,1,0,512,1,0,1,16,16,systolic,16,2,8,0,none,0,0
48,0,conv48,conv2d,conv2d,47,4294967295,7,7,512,1,1,512,1024,1,0,1,16,16,systolic,16,2,8,0,none,0,0
49,0,act49,activation,activation,48,4294967295,7,7,1024,1,1,0,1024,1,0,1,16,16,systolic,16,2,8,0,none,0,0
50,0,dw50,depthwise_conv2d,depthwise_conv2d,49,4294967295,7,7,1024,3,3,1,1024,1,1,1,16,16,systolic,16,2,8,0,none,0,0
51,0,act51,activation,activation,50,4294967295,7,7,1024,1,1,0,1024,1,0,1,16,16,systolic,16,2,8,0,none,0,0
52,0,conv52,conv2d,conv2d,51,4294967295,7,7,1024,1,1,1024,1024,1,0,1,16,16,systolic,16,2,8,0,none,0,0
