layer_id,function_id,layer_name,layer_type,function_type,i1_connect,i2_connect,input_h,input_w,input_c,kernel_h,kernel_w,kernel_c,kernel_count,stride,padding,dilation,tile_h,tile_w,pe_type,k,g,s,psum_kb,preprocess_type,preprocess_param0,preprocess_param1
0,0,conv0,conv2d,conv2d,4294967295,4294967295,224,224,3,7,7,3,64,2,3,1,16,16,systolic,16,2,8,0,none,0,0
1,0,act1,activation,activation,0,4294967295,112,112,64,1,1,0,64,1,0,1,16,16,systolic,16,2,8,0,none,0,0
2,0,pool2,pooling,pooling,1,4294967295,112,112,64,3,3,0,64,2,0,1,16,16,systolic,16,2,8,0,none,0,0
3,0,conv3,conv2d,conv2d,2,4294967295,56,56,64,3,3,64,64,1,1,1,16,16,systolic,16,2,8,0,none,0,0
4,0,act4,activation,activation,3,4294967295,56,56,64,1,1,0,64,1,0,1,16,16,systolic,16,2,8,0,none,0,0
5,0,conv5,conv2d,conv2d,4,4294967295,56,56,64,3,3,64,64,1,1,1,16,16,systolic,16,2,8,0,none,0,0
6,0,add6,elementwise,residual,5,2,56,56,64,1,1,0,64,1,0,1,16,16,systolic,16,2,8,0,none,0,0
7,0,act7,activation,activation,6,4294967295,56,56,64,1,1,0,64,1,0,1,16,16,systolic,16,2,8,0,none,0,0
8,0,conv8,conv2d,conv2d,7,4294967295,56,56,64,3,3,64,64,1,1,1,16,16,systolic,16,2,8,0,none,0,0
9,0,act9,activation,activation,8,4294967295,56,56,64,1,1,0,64,1,0,1,16,16,systolic,16,2,8,0,none,0,0
10,0,conv10,conv2d,conv2d,9,4294967295,56,56,64,3,3,64,64,1,1,1,16,16,systolic,16,2,8,0,none,0,0
11,0,add11,elementwise,residual,10,7,56,56,64,1,1,0,64,1,0,1,16,16,systolic,16,2,8,0,none,0,0
12,0,act12,activation,activation,11,4294967295,56,56,64,1,1,0,64,1,0,1,16,16,systolic,16,2,8,0,none,0,0
13,0,conv13,conv2d,conv2d,12,4294967295,56,56,64,1,1,64,128,2,0,1,16,16,systolic,16,2,8,0,none,0,0
14,0,conv14,conv2d,conv2d,12,4294967295,56,56,64,3,3,64,128,2,1,1,16,16,systolic,16,2,8,0,none,0,0
15,0,act15,activation,activation,14,4294967295,28,28,128,1,1,0,128,1,0,1,16,16,systolic,16,2,8,0,none,0,0
16,0,conv16,conv2d,conv2d,15,4294967295,28,28,128,3,3,128,128,1,1,1,16,16,systolic,16,2,8,0,none,0,0
17,0,add17,elementwise,residual,16,13,28,28,128,1,1,0,128,1,0,1,16,16,systolic,16,2,8,0,none,0,0
18,0,act18,activation,activation,17,4294967295,28,28,128,1,1,0,128,1,0,1,16,16,systolic,16,2,8,0,none,0,0
19,0,conv19,conv2d,conv2d,18,4294967295,28,28,128,3,3,128,128,1,1,1,16,16,systolic,16,2,8,0,none,0,0
20,0,act20,activation,activation,19,4294967295,28,28,128,1,1,0,128,1,0,1,16,16,systolic,16,2,8,0,none,0,0
21,0,conv21,conv2d,conv2d,20,4294967295,28,28,128,3,3,128,128,1,1,1,16,16,systolic,16,2,8,0,none,0,0
22,0,add22,elementwise,residual,21,18,28,28,128,1,1,0,128,1,0,1,16,16,systolic,16,2,8,0,none,0,0
23,0,act23,activation,activation,22,4294967295,28,28,128,1,1,0,128,1,0,1,16,16,systolic,16,2,8,0,none,0,0
24,0,conv24,conv2d,conv2d,23,4294967295,28,28,128,1,1,128,256,2,0,1,16,16,systolic,16,2,8,0,none,0,0
25,0,conv25,conv2d,conv2d,23,4294967295,28,28,128,3,3,128,256,2,1,1,16,16,systolic,16,2,8,0,none,0,0
26,0,act26,activation,activation,25,4294967295,14,14,256,1,1,0,256,1,0,1,16,16,systolic,16,2,8,0,none,0,0
27,0,conv27,conv2d,conv2d,26,4294967295,14,14,256,3,3,256,256,1,1,1,16,16,systolic,16,2,8,0,none,0,0
28,0,add28,elementwise,residual,27,24,14,14,256,1,1,0,256,1,0,1,16,16,systolic,16,2,8,0,none,0,0
29,0,act29,activation,activation,28,4294967295,14,14,256,1,1,0,256,1,0,1,16,16,systolic,16,2,8,0,none,0,0
30,0,conv30,conv2d,conv2d,29,4294967295,14,14,256,3,3,256,256,1,1,1,16,16,systolic,16,2,8,0,none,0,0
31,0,act31,activation,activation,30,4294967295,14,14,256,1,1,0,256,1,0,1,16,16,systolic,16,2,8,0,none,0,0
32,0,conv32,conv2d,conv2d,31,4294967295,14,14,256,3,3,256,256,1,1,1,16,16,systolic,16,2,8,0,none,0,0
33,0,add33,elementwise,residual,32,29,14,14,256,1,1,0,256,1,0,1,16,16,systolic,16,2,8,0,none,0,0
34,0,act34,activation,activation,33,4294967295,14,14,256,1,1,0,256,1,0,1,16,16,systolic,16,2,8,0,none,0,0
35,0,conv35,conv2d,conv2d,34,4294967295,14,14,256,1,1,256,512,2,0,1,16,16,systolic,16,2,8,0,none,0,0
36,0,conv36,conv2d,conv2d,34,4294967295,14,14,256,3,3,256,512,2,1,1,16,16,systolic,16,2,8,0,none,0,0
37,0,act37,activation,activation,36,4294967295,7,7,512,1,1,0,512,1,0,1,16,16,systolic,16,2,8,0,none,0,0
38,0,conv38,conv2d,conv2d,37,4294967295,7,7,512,3,3,512,512,1,1,1,16,16,systolic,16,2,8,0,none,0,0
39,0,add39,elementwise,residual,38,35,7,7,512,1,1,0,512,1,0,1,16,16,systolic,16,2,8,0,none,0,0
40,0,act40,activation,activation,39,4294967295,7,7,512,1,1,0,512,1,0,1,16,16,systolic,16,2,8,0,none,0,0
41,0,conv41,conv2d,conv2d,40,4294967295,7,7,512,3,3,512,512,1,1,1,16,16,systolic,16,2,8,0,none,0,0
42,0,act42,activation,activation,41,4294967295,7,7,512,1,1,0,512,1,0,1,16,16,systolic,16,2,8,0,none,0,0
43,0,conv43,conv2d,conv2d,42,4294967295,7,7,512,3,3,512,512,1,1,1,16,16,systolic,16,2,8,0,none,0,0
44,0,add44,elementwise,residual,43,40,7,7,512,1,1,0,512,1,0,1,16,16,systolic,16,2,8,0,none,0,0
45,0,act45,activation,activation,44,4294967295,7,7,512,1,1,0,512,1,0,1,16,16,systolic,16,2,8,0,none,0,0
46,0,pool46,pooling,pooling,45,4294967295,7,7,512,7,7,0,512,7,0,1,16,16,systolic,16,2,8,0,none,0,0
47,0,fc47,fully_connected,fully_connected,46,4294967295,1,1,512,1,1,512,1000,1,0,1,16,16,systolic,16,2,8,0,none,0,0
