layer_id,function_id,layer_name,layer_type,function_type,i1_connect,i2_connect,input_h,input_w,input_c,kernel_h,kernel_w,kernel_c,kernel_count,stride,padding,dilation,tile_h,tile_w,pe_type,k,g,s,psum_kb,preprocess_type,preprocess_param0,preprocess_param1
0,0,conv0,conv2d,conv2d,4294967295,4294967295,224,224,3,3,3,3,64,1,1,1,16,16,systolic,16,2,8,0,none,0,0
1,0,act1,activation,activation,0,4294967295,224,224,64,1,1,0,64,1,0,1,16,16,systolic,16,2,8,0,none,0,0
2,0,conv2,conv2d,conv2d,1,4294967295,224,224,64,3,3,64,64,1,1,1,16,16,systolic,16,2,8,0,none,0,0
3,0,act3,activation,activation,2,4294967295,224,224,64,1,1,0,64,1,0,1,16,16,systolic,16,2,8,0,none,0,0
4,0,pool4,pooling,pooling,3,4294967295,224,224,64,2,2,0,64,2,0,1,16,16,systolic,16,2,8,0,none,0,0
5,0,conv5,conv2d,conv2d,4,4294967295,112,112,64,3,3,64,128,1,1,1,16,16,systolic,16,2,8,0,none,0,0
6,0,act6,activation,activation,5,4294967295,112,112,128,1,1,0,128,1,0,1,16,16,systolic,16,2,8,0,none,0,0
7,0,conv7,conv2d,conv2d,6,4294967295,112,112,128,3,3,128,128,1,1,1,16,16,systolic,16,2,8,0,none,0,0
8,0,act8,activation,activation,7,4294967295,112,112,128,1,1,0,128,1,0,1,16,16,systolic,16,2,8,0,none,0,0
9,0,pool9,pooling,pooling,8,4294967295,112,112,128,2,2,0,128,2,0,1,16,16,systolic,16,2,8,0,none,0,0
10,0,conv10,conv2d,conv2d,9,4294967295,56,56,128,3,3,128,256,1,1,1,16,16,systolic,16,2,8,0,none,0,0
11,0,act11,activation,activation,10,4294967295,56,56,256,1,1,0,256,1,0,1,16,16,systolic,16,2,8,0,none,0,0
12,0,conv12,conv2d,conv2d,11,4294967295,56,56,256,3,3,256,256,1,1,1,16,16,systolic,16,2,8,0,none,0,0
13,0,act13,activation,activation,12,4294967295,56,56,256,1,1,0,256,1,0,1,16,16,systolic,16,2,8,0,none,0,0
14,0,conv14,conv2d,conv2d,13,4294967295,56,56,256,3,3,256,256,1,1,1,16,16,systolic,16,2,8,0,none,0,0
15,0,act15,activation,activation,14,4294967295,56,56,256,1,1,0,256,1,0,1,16,16,systolic,16,2,8,0,none,0,0
16,0,pool16,pooling,pooling,15,4294967295,56,56,256,2,2,0,256,2,0,1,16,16,systolic,16,2,8,0,none,0,0
17,0,conv17,conv2d,conv2d,16,4294967295,28,28,256,3,3,256,512,1,1,1,16,16,systolic,16,2,8,0,none,0,0
18,0,act18,activation,activation,17,4294967295,28,28,512,1,1,0,512,1,0,1,16,16,systolic,16,2,8,0,none,0,0
19,0,conv19,conv2d,conv2d,18,4294967295,28,28,512,3,3,512,512,1,1,1,16,16,systolic,16,2,8,0,none,0,0
20,0,act20,activation,activation,19,4294967295,28,28,512,1,1,0,512,1,0,1,16,16,systolic,16,2,8,0,none,0,0
21,0,conv21,conv2d,conv2d,20,4294967295,28,28,512,3,3,512,512,1,1,1,16,16,systolic,16,2,8,0,none,0,0
22,0,act22,activation,activation,21,4294967295,28,28,512,1,1,0,512,1,0,1,16,16,systolic,16,2,8,0,none,0,0
23,0,pool23,pooling,pooling,22,4294967295,28,28,512,2,2,0,512,2,0,1,16,16,systolic,16,2,8,0,none,0,0
24,0,conv24,conv2d,conv2d,23,4294967295,14,14,512,3,3,512,512,1,1,1,16,16,systolic,16,2,8,0,none,0,0
25,0,act25,activation,activation,24,4294967295,14,14,512,1,1,0,512,1,0,1,16,16,systolic,16,2,8,0,none,0,0
26,0,conv26,conv2d,conv2d,25,4294967295,14,14,512,3,3,512,512,1,1,1,16,16,systolic,16,2,8,0,none,0,0
27,0,act27,activation,activation,26,4294967295,14,14,512,1,1,0,512,1,0,1,16,16,systolic,16,2,8,0,none,0,0
28,0,conv28,conv2d,conv2d,27,4294967295,14,14,512,3,3,512,512,1,1,1,16,16,systolic,16,2,8,0,none,0,0
29,0,act29,activation,activation,28,4294967295,14,14,512,1,1,0,512,1,0,1,16,16,systolic,16,2,8,0,none,0,0
30,0,pool30,pooling,pooling,29,4294967295,14,14,512,2,2,0,512,2,0,1,16,16,systolic,16,2,8,0,none,0,0
31,0,fc31,fully_connected,fully_connected,30,4294967295,1,1,25088,1,1,25088,4096,1,0,1,16,16,systolic,16,2,8,0,none,0,0
32,0,act32,activation,activation,31,4294967295,1,1,4096,1,1,0,4096,1,0,1,16,16,systolic,16,2,8,0,none,0,0
33,0,fc33,fully_connected,fully_connected,32,4294967295,1,1,4096,1,1,4096,4096,1,0,1,16,16,systolic,16,2,8,0,none,0,0
34,0,act34,activation,activation,33,4294967295,1,1,4096,1,1,0,4096,1,0,1,16,16,systolic,16,2,8,0,none,0,0
35,0,fc35,fully_connected,fully_connected,34,4294967295,1,1,4096,1,1,4096,1000,1,0,1,16,16,systolic,16,2,8,0,none,0,0
